,graph_id,edge_id,num_nodes,num_edges,edge_betweenness,stress,max_deg,min_deg,is_bridge,diff_stress,diff_cross,diff_edgelength,benchmark
0,0,0,13,22,0.05769230769230769,0.39145134885462307,6,4,False,1.500316584643727,4,-0.038062097456891264,random-dag
1,0,1,13,22,0.01282051282051282,0.6530577890984546,4,4,False,-0.15483404030274173,0,0.004702650924784946,random-dag
2,0,2,13,22,0.04487179487179487,0.6721796166038583,6,4,False,0.21262398781013658,4,-0.005236682627758338,random-dag
3,0,3,13,22,0.038461538461538464,0.4474249926443077,5,4,False,0.5377981570912276,4,-0.026484982586684858,random-dag
4,0,4,13,22,0.10256410256410256,0.6171021914600613,6,6,False,-0.747067423328339,8,-0.0006747420802641901,random-dag
5,0,5,13,22,0.06239316239316239,0.6492188688921516,6,5,False,0.1302947289408216,0,-0.002472217512987429,random-dag
6,0,6,13,22,0.05769230769230769,0.3811792742857147,6,4,False,1.096419037169131,4,-0.038062097456859734,random-dag
7,0,7,13,22,0.12008547008547006,0.32018839194180837,6,2,False,-4.988804358477097,2,0.1459790940399336,random-dag
8,0,8,13,22,0.21666666666666665,0.4204124103728926,6,3,False,-2.197892532998935,2,0.1092121347641608,random-dag
9,0,9,13,22,0.06452991452991452,0.5475551696276673,6,5,False,-0.5939780883077184,4,0.008641834040941765,random-dag
10,0,10,13,22,0.04487179487179487,0.5175014596190499,6,4,False,-0.078314016755332,4,-0.00523668262792143,random-dag
11,0,11,13,22,0.12222222222222219,0.31177884279700124,6,2,False,-4.771732112475952,-1,0.13755326448990024,random-dag
12,0,12,13,22,0.1611111111111111,0.42931380900446897,6,2,False,-9.760539211982216,2,0.23297335867859226,random-dag
13,0,13,13,22,0.038461538461538464,0.5732071496941005,5,4,False,0.7463571262072861,4,-0.02648498258669374,random-dag
14,0,14,13,22,0.1397435897435897,0.4051518727590983,5,4,False,-3.2974907292630853,0,0.09109102480337972,random-dag
15,0,15,13,22,0.06880341880341881,0.6599911233103369,4,2,False,-0.499427840614576,-3,0.0024366402121905884,random-dag
16,0,16,13,22,0.08376068376068375,0.41521249011663713,4,2,False,-2.422780604615223,-2,0.0729448882457987,random-dag
17,0,17,13,22,0.15213675213675215,0.44772492879231796,4,2,False,-10.193370566233309,5,0.23138926049650538,random-dag
18,0,18,13,22,0.14358974358974358,0.44216803675527105,3,2,False,-9.598818082308757,0,0.23694993472299036,random-dag
19,0,19,13,22,0.12094017094017091,0.4505800052833813,3,2,False,-9.929746060671985,0,0.22305742684843416,random-dag
20,0,20,13,22,0.0923076923076923,0.4401824665194777,2,2,False,-4.813583139323807,0,0.09600533541129608,random-dag
21,0,21,13,22,0.09273504273504272,0.4425917311709501,2,2,False,-4.920581718235006,0,0.09306069300467856,random-dag
22,1,0,21,33,0.031678004535147415,0.5356510162031836,3,3,False,-0.03020926436611404,-2,-0.012711634613257139,random-dag
23,1,1,21,33,0.06799319727891155,0.6592567658858316,6,3,False,5.223707957062203,-1,-0.06040526704361454,random-dag
24,1,2,21,33,0.05132653061224488,0.6677816056951406,6,3,False,1.7835218873619851,-2,-0.03243313542722831,random-dag
25,1,3,21,33,0.031678004535147415,0.6060742700321393,3,3,False,-0.030209264366064303,-2,-0.012711634613258416,random-dag
26,1,4,21,33,0.06799319727891155,0.5099690257591885,6,3,False,5.22370795706216,-1,-0.0604052670436141,random-dag
27,1,5,21,33,0.05132653061224488,0.7007914832384695,6,3,False,1.783521887361971,-2,-0.03243313542722798,random-dag
28,1,6,21,33,0.06902494331065757,0.6337108449960476,6,3,False,-1.0559529820209264,-5,0.011289160248982189,random-dag
29,1,7,21,33,0.14513605442176875,0.5872492750673007,6,6,False,-1.6876163104365176,-1,0.010398056545249446,random-dag
30,1,8,21,33,0.1252947845804989,0.4849224680474289,6,6,False,-1.1074046239057722,-1,0.031560139646509444,random-dag
31,1,9,21,33,0.10912698412698414,0.5493339711694382,6,2,False,-8.349842726291932,0,0.14601735518334052,random-dag
32,1,10,21,33,0.08301587301587303,0.5011916358562345,6,2,False,-4.112708180015375,-2,0.0748311260606983,random-dag
33,1,11,21,33,0.1474263038548753,0.5661458633471935,6,4,False,0.004087878782961241,-1,-0.010017118638613376,random-dag
34,1,12,21,33,0.10431972789115648,0.5319777899442534,6,3,False,1.1439196337276272,0,-0.00491664318608781,random-dag
35,1,13,21,33,0.11458049886621317,0.5079441217008512,6,3,False,-3.277200644682516,0,0.05492504916459601,random-dag
36,1,14,21,33,0.11349206349206352,0.5417300260540125,6,3,False,-1.8898741559399852,1,0.012396414629512964,random-dag
37,1,15,21,33,0.08319727891156461,0.5487395975449196,6,3,False,0.636863751314273,1,-0.002994278072522172,random-dag
38,1,16,21,33,0.06801587301587302,0.6957721746408171,6,3,False,1.6304410100212934,0,-0.03624346944857554,random-dag
39,1,17,21,33,0.06666666666666668,0.5642775899746962,6,2,False,-3.6373522295736507,0,0.06818427449735609,random-dag
40,1,18,21,33,0.08780045351473922,0.5207098859972863,4,3,False,-1.2268310112750527,-3,0.02004244786302717,random-dag
41,1,19,21,33,0.028571428571428574,0.6253651546085809,3,2,False,1.2605952358408103,-3,-0.04417222474971222,random-dag
42,1,20,21,33,0.08089569160997731,0.7008666880762779,4,3,False,-0.7345712770633384,-8,0.04459595307774922,random-dag
43,1,21,21,33,0.05928571428571429,0.6604826502503492,4,2,False,-2.8113611916738535,-12,0.006149258651211242,random-dag
44,1,22,21,33,0.08639455782312926,0.48895086177325675,4,2,False,-4.02328883138248,-1,0.043723402153515945,random-dag
45,1,23,21,33,0.060816326530612246,0.5741644197417889,3,2,False,-2.9177848967553643,0,0.05805702616856495,random-dag
46,1,24,21,33,0.05061224489795919,0.5615991435660099,3,2,False,0.43679847004342065,0,-0.021921121126544596,random-dag
47,1,25,21,33,0.061111111111111116,0.6169780399749887,3,2,False,-1.9279952883636824,-2,0.007282299969828654,random-dag
48,1,26,21,33,0.05849206349206349,0.46991824223929135,3,3,False,-0.8522399318742231,1,-0.010802421861486444,random-dag
49,1,27,21,33,0.0688095238095238,0.5378374030667421,3,2,False,-3.98843983267691,-2,0.05504711503287868,random-dag
50,1,28,21,33,0.03920634920634922,0.5434878776972841,3,2,False,-1.0413110977188325,-5,0.0007339644247045807,random-dag
51,1,29,21,33,0.09306122448979592,0.5045046574331377,4,2,False,-4.766436422457744,-1,0.0632385906299488,random-dag
52,1,30,21,33,0.08174603174603175,0.5973874700453268,4,2,False,-1.3397144512684136,0,0.008079564879546586,random-dag
53,1,31,21,33,0.07182539682539682,0.556996542455345,4,2,False,-6.3596003770912475,0,0.10709876027418685,random-dag
54,1,32,21,33,0.04007936507936509,0.5948566900594123,2,2,False,1.458939029347171,0,-0.03767963347239894,random-dag
55,2,0,57,95,0.0303422246091419,0.8153935923862099,8,7,False,-0.33021466072776207,4,0.003188990379590695,random-dag
56,2,1,57,95,0.014803377491347415,0.7813971970270666,7,5,False,-0.2947355087264043,-2,0.003764750385317428,random-dag
57,2,2,57,95,0.016332497911445282,0.797236661899817,7,6,False,-0.5391343484101583,-10,0.004783930268099257,random-dag
58,2,3,57,95,0.00869360902255639,0.8375031529046795,7,6,False,0.032711594213537865,-2,-0.00020338014655063574,random-dag
59,2,4,57,95,0.02808583959899749,0.7057172696290253,7,5,False,0.7159260902776623,2,-0.001206409643132178,random-dag
60,2,5,57,95,0.032963360782909644,0.7036657988328908,7,5,False,-0.4577508913767474,-2,0.0018197637297165392,random-dag
61,2,6,57,95,0.03434180689819787,0.7802169574655496,7,3,False,-0.7747749588399699,-8,0.021091710539368147,random-dag
62,2,7,57,95,0.02916219119226638,0.6521846737670528,8,6,False,0.2904070530642855,-6,0.0021792294751486474,random-dag
63,2,8,57,95,0.03106203007518796,0.723514508011413,8,6,False,-0.42591938209801583,2,0.0032219567692953754,random-dag
64,2,9,57,95,0.025705633130445153,0.7957907222040963,8,5,False,0.24052569827040315,-1,0.001331672399404571,random-dag
65,2,10,57,95,0.07775390858097625,0.7390017445723297,8,5,False,2.9971683059885947,-7,0.018486127812430364,random-dag
66,2,11,57,95,0.0412720790070414,0.6360177317625849,8,3,False,-0.29676866342725816,-12,0.014464127377556701,random-dag
67,2,12,57,95,0.04887814775032819,0.6660109147369302,8,2,False,-7.452983060536525,-1,0.03974595997252506,random-dag
68,2,13,57,95,0.040219596610574046,0.6632206984610465,8,2,False,-8.338052368148794,0,0.04858354356927802,random-dag
69,2,14,57,95,0.012369465329991645,0.8928412808652264,6,6,False,-0.015633782188643863,0,0.00011700504895539865,random-dag
